,precision,recall,f1-score,support
0.0,0.81,0.77,0.79,533.0
1.0,0.78,0.82,0.8,533.0
accuracy,0.8,0.8,0.8,0.8
macro avg,0.8,0.8,0.8,1066.0
weighted avg,0.8,0.8,0.8,1066.0
0.0,0.8,0.81,0.81,533.0
1.0,0.81,0.8,0.8,533.0
accuracy,0.8,0.8,0.8,0.8
macro avg,0.8,0.8,0.8,1066.0
weighted avg,0.8,0.8,0.8,1066.0
0.0,0.83,0.84,0.83,533.0
1.0,0.84,0.83,0.83,533.0
accuracy,0.83,0.83,0.83,0.83
macro avg,0.83,0.83,0.83,1066.0
weighted avg,0.83,0.83,0.83,1066.0
0.0,0.84,0.86,0.85,533.0
1.0,0.86,0.83,0.85,533.0
accuracy,0.85,0.85,0.85,0.85
macro avg,0.85,0.85,0.85,1066.0
weighted avg,0.85,0.85,0.85,1066.0
0.0,0.84,0.87,0.85,533.0
1.0,0.87,0.83,0.85,533.0
accuracy,0.85,0.85,0.85,0.85
macro avg,0.85,0.85,0.85,1066.0
weighted avg,0.85,0.85,0.85,1066.0
0.0,0.84,0.87,0.86,533.0
1.0,0.86,0.84,0.85,533.0
accuracy,0.85,0.85,0.85,0.85
macro avg,0.85,0.85,0.85,1066.0
weighted avg,0.85,0.85,0.85,1066.0
