,precision,recall,f1-score,support
0.0,0.8,0.79,0.8,533.0
1.0,0.79,0.81,0.8,533.0
accuracy,0.8,0.8,0.8,0.8
macro avg,0.8,0.8,0.8,1066.0
weighted avg,0.8,0.8,0.8,1066.0
0.0,0.82,0.81,0.82,533.0
1.0,0.81,0.82,0.82,533.0
accuracy,0.82,0.82,0.82,0.82
macro avg,0.82,0.82,0.82,1066.0
weighted avg,0.82,0.82,0.82,1066.0
0.0,0.84,0.85,0.85,533.0
1.0,0.85,0.84,0.85,533.0
accuracy,0.85,0.85,0.85,0.85
macro avg,0.85,0.85,0.85,1066.0
weighted avg,0.85,0.85,0.85,1066.0
0.0,0.84,0.86,0.85,533.0
1.0,0.86,0.83,0.85,533.0
accuracy,0.85,0.85,0.85,0.85
macro avg,0.85,0.85,0.85,1066.0
weighted avg,0.85,0.85,0.85,1066.0
0.0,0.84,0.85,0.85,533.0
1.0,0.85,0.84,0.84,533.0
accuracy,0.85,0.85,0.85,0.85
macro avg,0.85,0.85,0.85,1066.0
weighted avg,0.85,0.85,0.85,1066.0
0.0,0.84,0.85,0.84,533.0
1.0,0.85,0.84,0.84,533.0
accuracy,0.84,0.84,0.84,0.84
macro avg,0.84,0.84,0.84,1066.0
weighted avg,0.84,0.84,0.84,1066.0
