,precision,recall,f1-score,support
0.0,0.5,1.0,0.67,533.0
1.0,0.0,0.0,0.0,533.0
accuracy,0.5,0.5,0.5,0.5
macro avg,0.25,0.5,0.33,1066.0
weighted avg,0.25,0.5,0.33,1066.0
0.0,0.5,1.0,0.67,533.0
1.0,0.0,0.0,0.0,533.0
accuracy,0.5,0.5,0.5,0.5
macro avg,0.25,0.5,0.33,1066.0
weighted avg,0.25,0.5,0.33,1066.0
0.0,0.5,1.0,0.67,533.0
1.0,0.0,0.0,0.0,533.0
accuracy,0.5,0.5,0.5,0.5
macro avg,0.25,0.5,0.33,1066.0
weighted avg,0.25,0.5,0.33,1066.0
0.0,0.5,1.0,0.67,533.0
1.0,0.0,0.0,0.0,533.0
accuracy,0.5,0.5,0.5,0.5
macro avg,0.25,0.5,0.33,1066.0
weighted avg,0.25,0.5,0.33,1066.0
0.0,0.8,0.91,0.85,533.0
1.0,0.89,0.77,0.83,533.0
accuracy,0.84,0.84,0.84,0.84
macro avg,0.85,0.84,0.84,1066.0
weighted avg,0.85,0.84,0.84,1066.0
0.0,0.8,0.91,0.85,533.0
1.0,0.89,0.77,0.82,533.0
accuracy,0.84,0.84,0.84,0.84
macro avg,0.84,0.84,0.84,1066.0
weighted avg,0.84,0.84,0.84,1066.0
